,p,alpha,Qvar,ILvar
0,0.1,1.0,0.03291068443289749,1.081630913961398
1,0.1,1.0,0.05526969543426889,1.3310419895401893
2,0.1,1.0,0.04464375927719035,1.1317975305133563
3,0.1,1.0,0.07543158104709055,2.4865093655631916
4,0.1,1.0,0.09347078466288115,2.3022545381315056
5,0.1,1.0,0.04453762076256907,1.1372147505673338
6,0.1,1.0,0.01892155047666468,0.8422602280354887
7,0.1,1.0,0.02977473278212488,1.1879261561264927
8,0.1,1.0,0.10920544920227329,3.1762173858205847
9,0.1,1.0,0.06504654388082268,2.562132103693817
10,0.1,1.0,0.04993547192628296,1.659348958430636
11,0.1,1.0,0.05017090120214657,1.1014449876516719
12,0.1,1.0,0.05978509781608616,1.5401512940249285
13,0.1,1.0,0.0336881659563997,1.1960095454401283
14,0.1,1.0,0.057248337210331623,1.4540234174842532
15,0.1,1.0,0.061138567990246175,1.3954044009097692
16,0.1,1.0,0.03200548509511215,0.9764701199740738
17,0.1,1.0,0.0354966531849175,1.436909743612182
18,0.1,1.0,0.04191096784591774,1.178984545496026
19,0.1,1.0,0.043147565351039543,1.0288553150665924
20,0.1,1.0,0.04578093733026261,1.454992370704659
21,0.1,1.0,0.04129630944745508,1.2577204988266037
22,0.1,1.0,0.027523979447547094,0.8126242701975122
23,0.1,1.0,0.04205021798623358,1.688141872016263
24,0.1,1.0,0.036007261943092284,0.9592725573816971
25,0.1,1.0,0.017439057358985034,0.7530137302171432
26,0.1,1.0,0.02792789624473088,0.9535965671607677
27,0.1,1.0,0.04303030667473068,1.4846184124914223
28,0.1,1.0,0.06970463247754091,2.0583741274825904
29,0.1,1.0,0.04648312126783154,1.442296657060324
30,0.1,1.1,0.042531432604271925,1.161246205498871
31,0.1,1.1,0.031255435676484686,0.8715708276029978
32,0.1,1.1,0.031682381164964184,1.1760291019736204
33,0.1,1.1,0.021759829530536345,0.7242678461414583
34,0.1,1.1,0.03567116544053408,1.0278996722838198
35,0.1,1.1,0.020942807258296073,0.8726317376245067
36,0.1,1.1,0.03393206329138263,1.1768243458664847
37,0.1,1.1,0.021769540291217263,0.7445023885297207
38,0.1,1.1,0.0344320844672263,1.0837682202185652
39,0.1,1.1,0.038497479728300636,1.5120601093596246
40,0.1,1.1,0.04420829681024681,1.2567814326315188
41,0.1,1.1,0.03424149803212426,1.1452251445060906
42,0.1,1.1,0.037814533262294975,1.2333800276995028
43,0.1,1.1,0.029017283030920812,0.8760353281610874
44,0.1,1.1,0.0649357313787056,2.148791044132396
45,0.1,1.1,0.03874399008118314,1.159904735930985
46,0.1,1.1,0.02433270595315503,0.9281874752242918
47,0.1,1.1,0.030939102239657564,1.3370834538499876
48,0.1,1.1,0.028967242726337248,0.7975549761444612
49,0.1,1.1,0.03834477339123062,1.5056044917181166
50,0.1,1.1,0.028262320086618668,0.9838118074682768
51,0.1,1.1,0.04313843664532289,1.2365872392859603
52,0.1,1.1,0.03487544657137123,1.2839504233485806
53,0.1,1.1,0.015886796795480294,0.6823111955394405
54,0.1,1.1,0.05049909947919101,1.3024704846893835
55,0.1,1.1,0.02439779793927324,0.8778969976682177
56,0.1,1.1,0.02271037623707198,1.0578347351145139
57,0.1,1.1,0.03610807172966077,1.0134255923890643
58,0.1,1.1,0.025696520048667973,0.9099908545435231
59,0.1,1.1,0.038854627263831355,1.2725146320626979
60,0.1,1.21,0.05173262147661392,1.9517393715924911
61,0.1,1.21,0.01635352071365972,0.7454529244699181
62,0.1,1.21,0.012739538212230807,0.6253174224124476
63,0.1,1.21,0.024486364812556657,0.7911134536719405
64,0.1,1.21,0.027942042199575603,1.2185287367128452
65,0.1,1.21,0.036254035184820524,1.072972015641435
66,0.1,1.21,0.01413054727293787,0.6816578027084277
67,0.1,1.21,0.014916626367775809,0.5995802607792536
68,0.1,1.21,0.01934395833952167,0.7995447989583445
69,0.1,1.21,0.019624541351775708,0.8470868882544044
70,0.1,1.21,0.015288047585989988,0.763521647611113
71,0.1,1.21,0.01980986806744378,0.6657365598384094
72,0.1,1.21,0.017919715965931098,0.9097113057686351
73,0.1,1.21,0.028635077114901743,0.939263191421785
74,0.1,1.21,0.01972532870859163,0.6990558406576903
75,0.1,1.21,0.03189313356779575,1.050684698338657
76,0.1,1.21,0.02847241790555128,0.830350572850142
77,0.1,1.21,0.02534927846788967,0.8733723574860436
78,0.1,1.21,0.02519173926655525,0.7625039604280174
79,0.1,1.21,0.03792824992951098,1.3230208874863285
80,0.1,1.21,0.01777062608013885,0.7981670183980593
81,0.1,1.21,0.028554569715098,1.054998981233326
82,0.1,1.21,0.02138402607169013,0.7928591141585053
83,0.1,1.21,0.033695222920891006,1.1437681115563145
84,0.1,1.21,0.02038610754262868,0.9059213086410246
85,0.1,1.21,0.011690316666709633,0.7053677562166619
86,0.1,1.21,0.02391290545816257,0.8016991471685974
87,0.1,1.21,0.04562177144228599,1.6562055218957683
88,0.1,1.21,0.010685612622653735,0.6212683936490667
89,0.1,1.21,0.02809648314116151,0.9544141805676254
90,0.1,1.31,0.011373261701519205,0.6476549378355481
91,0.1,1.31,0.035073379367044424,0.9579788328426645
92,0.1,1.31,0.010935092753857921,0.6331949577085918
93,0.1,1.31,0.0059693644910940894,0.4969256463981426
94,0.1,1.31,0.0196824796325098,0.6876087341883079
95,0.1,1.31,0.00384390033197337,0.425226417233307
96,0.1,1.31,0.010860040243311681,0.593329822389083
97,0.1,1.31,0.05057807302173485,1.5454912983682798
98,0.1,1.31,0.006777168578377385,0.6432129160190514
99,0.1,1.31,0.01589145951177423,0.6402241774995291
