,15
1.6043374989534431,0.0003665687002828517
1.76634619449587,0.00011851943029621978
1.9171195453258283,2.529161718349674e-05
2.0991696944248766,1.8939014586613773e-05
2.2833002597534793,3.866749951140821e-06
2.457187781419978,3.6536231101175455e-06
2.6268708871587005,7.591368509859914e-07
2.818317311275058,7.478815509948443e-07
3.0057917877636187,7.940521850860537e-08
3.1668703239222245,8.749848994502953e-08
3.338176267141152,1.0857066516573883e-08
3.5384766615931,2.978661610864622e-09
3.7157661085743285,3.0849767874577938e-09
3.904109589041094,3.4551737074433334e-10
4.109589041095893,3.076982058373796e-09
